,TP,FP,FN,TN,TPR_mean,PPV_mean,ACC_mean,F1,MCC,ROC_AUC,PR_AUC,PRG_AUC,cutoff
ML__exclude_hospital,118,664,111,3021,0.5152838427947598,0.15089514066496162,0.8019928461931528,0.2334322453016815,0.1966929231923718,0.7491393765590468,0.1652116846373886,0.7669003154491275,0.7405425436547538
ML__exclude_hospital__no_FL,113,666,116,3019,0.49344978165938863,0.14505776636713735,0.8002043944813491,0.2242063492063492,0.1838233134914481,0.720663850260409,0.14762896473907738,0.7399818831075708,0.16978916166410005
LR__exclude_hospital,121,661,108,3024,0.5283842794759825,0.1547314578005115,0.8035258048032703,0.23936696340257171,0.20486046442361946,0.7387556066432426,0.15697118695521428,0.7858253268123913,0.09231682505099917
ML__top_10,117,658,112,3027,0.5109170305676856,0.15096774193548387,0.803270311701584,0.23306772908366535,0.19574585696782845,0.7349694560148838,0.16126586304952278,0.7882264761586473,0.6702390902096014
ML__top_10__no_FL,107,674,122,3011,0.4672489082969432,0.13700384122919335,0.7966274910577414,0.21188118811881188,0.16698472384323745,0.728377761845793,0.14219414519179996,0.7337026119260427,0.5514580245901699
LR__top_10,116,666,113,3019,0.5065502183406113,0.1483375959079284,0.8009708737864077,0.22947576656775467,0.19124789570487336,0.7278806444158722,0.15056331110247387,0.7627833366661267,0.09720827878620483
ML__exclude_hospital__exclude_age,114,667,115,3018,0.4978165938864629,0.14596670934699105,0.8002043944813491,0.22574257425742575,0.18605147329356655,0.7259081725157459,0.1596755708904723,0.7671209800793253,0.7441436264407842
ML__exclude_hospital__exclude_age__no_FL,103,678,126,3007,0.4497816593886463,0.13188220230473752,0.7945835462442514,0.20396039603960395,0.1560894384430494,0.7119000077026539,0.1375025086074406,0.7123833932707707,0.5176340488493059
only_age,102,662,127,3023,0.44541484716157204,0.13350785340314136,0.7984159427695452,0.20543806646525678,0.157375315055391,0.6870411736474437,0.13398993130168124,0.7063107236116575,0.7767767767767767
