,TP,FP,FN,TN,TPR_mean,PPV_mean,ACC_mean,F1,MCC,ROC_AUC,PR_AUC,PRG_AUC,brier_score,cutoff
ML,106,676,76,3055,0.5824175824175825,0.13554987212276215,0.8078200868898543,0.21991701244813278,0.2113002249863831,0.7697947991434992,0.15343976068750032,0.7979186199722264,0.043242357218916595,0.0243842595870572
LR,94,688,88,3043,0.5164835164835165,0.12020460358056266,0.8016866854076157,0.1950207468879668,0.17488375334544332,0.746364731489363,0.15648069377598442,0.8623925292081611,0.043206776231952904,0.05984573435630239
ML__top_10,101,681,81,3050,0.554945054945055,0.12915601023017903,0.8052645029389215,0.2095435684647303,0.1961266951359915,0.7489286376984046,0.14086030835701482,0.82383503323301,0.043548835697630156,0.027050401293227166
LR__top_10,90,692,92,3039,0.4945054945054945,0.11508951406649616,0.7996422182468694,0.18672199170124482,0.16274492946513006,0.736396275929913,0.15170698453920559,0.8540590708470809,0.043330673500135856,0.05932372089092416
only_age,87,676,95,3055,0.47802197802197804,0.11402359108781127,0.8029644773830821,0.1841269841269841,0.15777902154775678,0.697152017106453,0.12151557843172638,0.7588029782931324,0.3877430049312526,0.7345679012345678
