,TP,FP,FN,TN,TPR_mean,PPV_mean,ACC_mean,F1,MCC,ROC_AUC,PR_AUC,PRG_AUC,cutoff
ML__exclude_hospital,107,670,75,3062,0.5879120879120879,0.1377091377091377,0.8096576392437405,0.22314911366006254,0.2155793342003495,0.7629449194963664,0.16259800753589765,0.86748033921043,0.3403894162429991
LR__exclude_hospital,99,679,83,3053,0.5439560439560439,0.12724935732647816,0.805314256515074,0.20625000000000002,0.19101018707114367,0.7434572394379467,0.15084686205021774,0.8491513330325671,0.08082028440282286
ML__top_10,108,674,74,3058,0.5934065934065934,0.13810741687979539,0.8088911599386817,0.22406639004149373,0.2173895472606059,0.7573554526930731,0.15800123755711767,0.8385177250708894,0.1592564400413483
LR__top_10,97,685,85,3047,0.532967032967033,0.12404092071611253,0.803270311701584,0.2012448132780083,0.18400905462982953,0.7438297233313309,0.14758957150480387,0.8279122397412282,0.07853395548978913
ML__exclude_hospital__exclude_age,94,684,88,3048,0.5164835164835165,0.12082262210796915,0.8027593254982115,0.19583333333333333,0.17580798543227147,0.7311770491030941,0.1301450211278783,0.8015906843233277,0.17452061066420765
only_age,87,677,95,3055,0.47802197802197804,0.11387434554973822,0.8027593254982115,0.1839323467230444,0.1575802984661685,0.6970402989293665,0.12143859151736319,0.7588095126167506,0.7767767767767767
