,TP,FP,FN,TN,TPR_mean,PPV_mean,ACC_mean,F1,MCC,ROC_AUC,PR_AUC,PRG_AUC,brier_score,cutoff
ML,117,665,112,3019,0.5109170305676856,0.149616368286445,0.8014311270125224,0.23145400593471807,0.19394630393571427,0.7496076506929529,0.18084111523668783,0.8473011053456438,0.05232699371136766,0.057077672558882964
LR,116,666,113,3018,0.5065502183406113,0.1483375959079284,0.8009200102223358,0.22947576656775467,0.19122368170914553,0.7411774746454631,0.16599244740853858,0.7985900707828292,0.05343617147764098,0.07363395590442925
ML__top_10,113,669,116,3015,0.49344978165938863,0.1445012787723785,0.7993866598517761,0.22354104846686448,0.1830558150294393,0.7226552683858916,0.15810647479923426,0.761485853278537,0.05545793276317627,0.020498577927051113
LR__top_10,109,673,120,3011,0.4759825327510917,0.13938618925831203,0.7973421926910299,0.2156280909990109,0.17216532612316435,0.7290063487096331,0.16665598127290687,0.7706795026014018,0.05366968431058121,0.07413242312376489
only_age,102,661,127,3023,0.44541484716157204,0.13368283093053734,0.7986199846664963,0.20564516129032256,0.1575889708814275,0.6871583242061743,0.13407889276923937,0.7063248829989507,0.38334803154403113,0.7345679012345678
