,TP,FP,FN,TN,TPR_mean,PPV_mean,ACC_mean,F1,MCC,ROC_AUC,PR_AUC,PRG_AUC,cutoff
ML__exclude_hospital,127,649,102,3036,0.5545851528384279,0.163659793814433,0.8081246806336229,0.2527363184079602,0.2227951539124845,0.7520219466383841,0.17250049548941981,0.7951613515627993,0.46574462772421876
LR__exclude_hospital,117,657,112,3028,0.5109170305676856,0.1511627906976744,0.8035258048032703,0.23330009970089727,0.19600098023421691,0.7415297470566975,0.16014909803243219,0.7775407209986537,0.1019926617275867
ML__top_10,114,666,115,3019,0.4978165938864629,0.14615384615384616,0.8004598875830352,0.22596630327056494,0.1863004365203155,0.7431224188703169,0.1687589962790635,0.7711778668806546,0.32038338115444864
LR__top_10,109,669,120,3016,0.4759825327510917,0.14010282776349614,0.7984159427695452,0.21648460774577952,0.17316063104885548,0.7301582599112418,0.15239307787342082,0.7715579819809338,0.09912643664182064
ML__exclude_hospital__exclude_age,108,668,121,3017,0.47161572052401746,0.13917525773195877,0.7984159427695452,0.21492537313432838,0.1709174668876928,0.7291154390808956,0.14599398172128863,0.754818057979002,0.11951518346754693
only_age,102,662,127,3023,0.44541484716157204,0.13350785340314136,0.7984159427695452,0.20543806646525678,0.157375315055391,0.6870411736474437,0.13398993130168124,0.7063107236116575,0.7767767767767767
